,Age,Gender,Country,BTS_Listening_Freq,Daily_Music_Hours,Streaming_Service,Favorite_Song,Anxiety_Level,Depression_Level,Stress_Level,Loneliness_Rating,Sadness_Rating,BTS_Mood_Impact,BTS_Stress_Management,BTS_Mental_Health_Impact,BTS_Impact_Explanation,Themes,ARMY_Membership,ARMY_Fandom_MH_Impact,Health_Talk_with_Friends,Additional_BTS_Impact
0,19,Female,Ukraine,4.0,5,Spotify,Not Today,6,2,7,2,2,5,Yes,Yes,It gives me more confidence and I do not feel lonely. They are like my family that helps me in dark periods.,Cool,Yes,ARMY is very strong fandom. They will anything to protect their best singers.,Yes,BTS forever💜
1,16,Female,India,5.0,3,"Spotify, YouTube Music",Boy with luv,8,8,6,5,4,5,Yes,I don't know,no data,Lively themes,Yes,It helped me gain confidence and stay happy,Yes,No
2,19,Female,India,5.0,3,"Spotify, YouTube Music",Zero o clock,3,0,2,3,1,5,Yes,Yes,"When COVID hit, I was already in deep depression not because of lockdown but because of comparison and stuff like that, I feel useless that time.for me, I don't belong here , they are so great,they lose face because of me..I am somehow certain about that..I even once think of doing suicide but not brave enough to do that though a bit of tried..now, at a time like this I met BTS..idk how but I feel like someone love me and therefore I get to know more about them and eventually know about self love and everything ..so, my life changed slowly after that..I am quite happy right now","Love yourself for truly who u are, face yourself, learn to forgive yourself and accept yourself",Yes,"Very much in a positive way.like whenever I feel sad or upset about something, I share that on weverse and my fellow army's always somehow cheer me up.i feel like there is many persons in this world who understands me and supports me..I love army as much as I love BTS, they both are always there for me",Yes,I have already shared everything..I think young generation should listen to them and love themselves instead of trying to be someone else
3,15,Female,"Maryland United state of America, and fuzhou china",5.0,5,Spotify,"No more dreams, Spring days, and permission to dance ( I like all of them but that’s my favorite ones )",1,2,2,3,1,5,I don't know,I don't know,I said idk because I listened to bts since 4th grade and I really like them they make me really happy,Idk,Yes,Idk,No,I love bts and they make me happy
4,17,Male,North America,5.0,5,Spotify,I Need U,4,2,2,3,1,5,No,Yes,"Well.... a lot of their music ive been able to connect with on a personal level, so it just helps me a lot when i need it","everything, from their music about love to the fears of growing up and rejection",Yes,"honestly, a good amount",No,"no, thats all"
5,16,Female,India,1.0,1,Spotify,"Save me , pied Piper",8,4,8,1,2,2,No,No,Nope,I used to listen so idk anymore but I like the most beautiful moment in life: young forever,No,No not really,No,They're good
6,17,Female,India,5.0,2,"Spotify, Apple Music","Fake love , Blood sweat and tears",2,0,3,1,1,5,Yes,Yes,"I used to be very stressed during my exams a few years ago and being a straight  A student from the very beginning added up to it even more .
I had to keep up with everyone's expectations , this messed up with my  grades and I used to cry. But when I found out that alot of my friends were BTS ARMYs  so I gave it a try too , it helped me so well that I ended up topping in my entire school in my board exams and also qualified alot of competitive exams. I give alot of credit to BTS in making me feel focused and not to worry.","Loving yourself, following your dreams and also the friendship that they have forged for years.",Yes,Very positively,Yes,no data
7,20,Female,North korea,0.0,5,Spotify,On ft sia,4,4,4,2,2,0,No,No,no data,no data,No,no data,No,Stop parasocial relationship. I hope jimin goat voice heals your anxiety
8,20,Female,USA,5.0,4,Spotify,Ma City,8,2,9,2,2,5,Yes,Yes,Their content cheers me up and so do their songs!,"Loneliness vs being seen(save me, bs&t, most of hyyh) and also anger towards society(not today, n.o., we are bulletproof, ugh)",Yes,Negative when online but positive the rest of the time,No,no data
9,old,Male,USA,1.0,3,Spotify,blood sweat and tears,6,3,2,2,3,4,Yes,I don't know,no data,postive message,No,no data,No,no data
10,19,Male,Georgia,3.0,3,Spotify,Mikrokosmos,1,0,4,4,3,4,Yes,Yes,Has made me believe in myself and through lyrics made me feel comfortable and through their overall efforts made me feel like we were close to each other and therefore I didn’t feel much alone and then I discovered the fan base where I found friends and happiness at time,Loneliness or feeling lost,Yes,By engaging with different people with different minds but all coming to same space because of same interests I at that time for the first time wasn’t judged for the reasons I would have in other cases so that feeling of army being my safe space had affected my health towards better,Yes,This group helped me become the human I am today and without them I don’t know what I would be so I’m thankful for them and willing to stand with them forever. And to anyone reading this my advice is while listening to BTS take their music to the heart it really helps
11,19,Female,USA,5.0,5,"Spotify, YouTube Music",Black Swan,8,8,10,4,3,5,Yes,Yes,no data,"Motivation, hard work, mental health, inclusivity, positivity, hope, social issues, frustration",Yes,no data,Yes,no data
12,25,Female,United States,5.0,2,Spotify,"Oooooweee, thats hard.. Currently, Paradise",3,3,0,0,3,5,Yes,Yes,"I discovered them in 2020, I was in my first apartment, away from home and recently lost my father. I listen to k artists like Dean, Colde, Crush and Bibi and it was on a shuffle. I heard this voice, and I looked at my phone saw it was BTS Blue and Grey. I was never the type to look a lyrics but I did that time and it explained exactly how I felt. They helped get though that tough time and they continue to do so, and for that I will always have respect and admiration for them.","All of them.. I believe that BTS are such versatile artists that each theme I’ve seen them in HYYH era,  to love myself, has truly been my favorite",Yes,no data,Yes,no data
13,32,Male,belgium,2.0,5,YouTube Music,Dionysus,1,4,2,4,2,3,No,No,no data,"I don't pay much attention to lyrics, but I prefer anything else over love songs.",No,no data,No,"I am a Once, my answers would have been different if this survey were about Twice. I only listen to BTS sometimes."
14,no data,Female,Australia,5.0,2,Spotify,Louder than Bombs,0,0,2,0,2,4,Yes,Yes,"It really comes down to how they are able to convey emotions perfectly even through the language barrier. If the song follows a happy theme, you can hear it; a sad theme, they can convey it. It also takes my mind off things and helps me to refocus myself (and feel happier as I hear their amazing vocals and raps!0","I love (no pun intended) how deeply they have explored and expanded on the theme of love. From the deepest lows of breakups and toxicity to the euphoric moments of the first sight, they have explored everything that comes with love, whether romantic, platonic, metaphorical, you name it! I also have a special place in my heart for the social commentary songs where they talk about current trends and give their take on it through unique ways. Finally, any of their songs where they talk about their struggles and getting back up again and moving forward never fails to make me fall in love with them even more! (P.S sorry for the long spiel, I just don't have anyone close to me (other than my parents) who is an ARMY and who I can rant these thoughts too...)",Yes,"It makes me feel like I am actually part of a community I can cherish with pride. I mean, at times I even feel invincible knowing we are one of the biggest fandoms in the world. (I would make some sort of army joke here but I can't think of any lol) I also have been able to be around so many different people who all are so different yet can fangirl over Bangtan with me! Finally, especially in tough times, I love and find pride when all of us just band together and stand up for our causes or just spread happy vibes!",No,no data
15,21,Female,Somaliland,4.0,5,"Spotify, YouTube Music",Young Forever,5,6,7,1,1,4,Yes,Yes,I found my passion for music and life through their messages,"lost youth, being lost in the world as sombody who just became an adult espicially after wasting teen years in covid",Yes,a community of fun people,Yes,nop
16,53,Female,United Kingdom,5.0,5,Itunes purchases,"I can't choose, I love too many of them",7,6,6,2,2,5,Yes,Yes,"I was miserable and in a dark place when I first heard Dynamite, then proceeded to fall down the Bangtan rabbit hole, they re-awakend my love of music and helped me find myself again in a good way.","Love Yourself, something I had always struggled with and they really helped me realise I needed to love myself first and foremost.",Yes,"Even if nobody else would understand I know ARMY gets it, the shared love and kindness and realising so many others have been through a similar experience of Bangtan helping them with their mental health, makes me feel less isolated.",Yes,"I had bad depression as a teenager and while I got past it it never truly went away, the self loathing was the worst part of it all, then thinking if somebody else loved me it would all be better, for a time it was but it was just a plaster over a gaping wound. 

When my relationship ended I found a lot of the feelings I had as a teenager were coming back, then covid happened and by pure chance I saw a reaction on YouTube to Dynamite, within days I was deep diving everything BTS but it was two songs in particular that changed my outlook.

Seesaw, reading the translation was like looking in a mirror, I had tried to hang onto my failed relationship for too long when quite honestly he had already gone, to this day it is still one of my favourites as it reminds me of how strong I was to let go of what was holding me back.

And Epithany, the reminder that I needed to try and love myself first, it is still a work in progress and probably always will be but I am definitely kinder to myself now than I have ever been in my life, I no longer think those awful nasty self loathing thoughts, and I am 100% happier for it.

When I think back at how I was pre Bangtan and how I am now it is night and day in regards to my overall sense of happiness, and the biggest part of that has been them helping me to finally love myself instead of loath myself."
17,22,Female,no data,5.0,4,"Spotify, YouTube Music",Crystal snow,6,2,3,3,4,5,Yes,Yes,no data,no data,Yes,no data,No,no data
18,30,Female,Sri Lanka,5.0,3,Spotify,Spring day,10,9,9,3,5,5,Yes,Yes,"When I'm stressed or fear of my future or feel any negativity, I thought about the lyrics of BTS song that I heard before, and quickly turn on that song. It really helps me to overcome the negativity and start again the day positively.","Daily life struggles, Find happiness",Yes,"Before encountering BTS, I used to be hate myself, but they taught me to love and accept myself as who I am.",Yes,"BTS has variety of geners of music with healing capability, so I'd like to invite you all to share this positivity with your loved ones."
19,61,Female,Brasil,4.0,4,Spotify,Epiphany,4,0,4,4,2,5,Yes,Yes,Messages teach self-loveThe messages teach self-love and that no one needs to be perfect.,Self love,Yes,Their messages make me more happy and strong,Yes,"I am a mature woman who started playing and singing loudly again because of the examples that BTS gives me. Living happily at any age, without putting too much pressure on yourself and taking care of your health, that is the formula for happiness!"
20,17,Female,India,5.0,5,Spotify,All,10,0,0,0,1,5,Yes,Yes,"Actually I was so depressed,stressed and its feels want to die but after I started to see bts and heard their songs i forgot every pain and wanted to live to heard bts songs, thank you bts💜you changed my life",Fake Love,Yes,Feeling proud to being an BTS ARMY and there is nothing have negative impacts and most important is i am completely alright💜,Yes,💜BTS FOREVER💜
21,37,Female,United States,5.0,3,Amason Music,Idol,7,4,5,2,3,5,Yes,Yes,no data,Hope. Self-Love. Hardwork. Inner beauty. Family. Trust.,Yes,Feeling understood and accepted,Yes,It’s saved my life
